subject,months,memory,vocab,item,rt,correct,sentence,connective,position,order,age
1,48,18,62,15,0.749944,0,AI,after,initial,zchronological,preschool
1,48,18,62,16,1.19359,1,AI,after,initial,zchronological,preschool
1,48,18,62,31,1.202418,0,AI,after,initial,zchronological,preschool
1,48,18,62,32,1.239743,1,AI,after,initial,zchronological,preschool
1,48,18,62,47,1.308379,1,AI,after,initial,zchronological,preschool
1,48,18,62,48,1.342217,0,AI,after,initial,zchronological,preschool
1,48,18,62,63,1.123031,0,AI,after,initial,zchronological,preschool
1,48,18,62,64,1.528118,1,AI,after,initial,zchronological,preschool
1,48,18,62,13,0.883515,0,BI,zbefore,initial,reverse,preschool
1,48,18,62,14,2.881334,0,BI,zbefore,initial,reverse,preschool
1,48,18,62,29,0.610206,1,BI,zbefore,initial,reverse,preschool
1,48,18,62,30,0.718591,0,BI,zbefore,initial,reverse,preschool
1,48,18,62,45,1.53878,0,BI,zbefore,initial,reverse,preschool
1,48,18,62,46,1.29236,0,BI,zbefore,initial,reverse,preschool
1,48,18,62,61,2.169559,1,BI,zbefore,initial,reverse,preschool
1,48,18,62,62,1.398905,1,BI,zbefore,initial,reverse,preschool
1,48,18,62,11,1.360566,1,AM,after,zmedial,reverse,preschool
1,48,18,62,12,1.48898,0,AM,after,zmedial,reverse,preschool
1,48,18,62,27,1.241492,0,AM,after,zmedial,reverse,preschool
1,48,18,62,28,0.848606,1,AM,after,zmedial,reverse,preschool
1,48,18,62,43,1.329034,1,AM,after,zmedial,reverse,preschool
1,48,18,62,44,1.146525,1,AM,after,zmedial,reverse,preschool
1,48,18,62,59,1.201961,1,AM,after,zmedial,reverse,preschool
1,48,18,62,60,1.05121,1,AM,after,zmedial,reverse,preschool
1,48,18,62,9,0.813528,1,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,10,1.315295,0,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,25,2.470958,0,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,26,1.305253,1,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,41,1.328391,1,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,42,1.418415,1,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,57,1.069708,0,BM,zbefore,zmedial,zchronological,preschool
1,48,18,62,58,1.915312,0,BM,zbefore,zmedial,zchronological,preschool
2,44,22,57,1,16.695969,1,AI,after,initial,zchronological,preschool
2,44,22,57,2,5.37266,1,AI,after,initial,zchronological,preschool
2,44,22,57,17,15.912177,1,AI,after,initial,zchronological,preschool
2,44,22,57,18,21.717185,1,AI,after,initial,zchronological,preschool
2,44,22,57,21,3.021096,1,AI,after,initial,zchronological,preschool
2,44,22,57,22,16.96214,1,AI,after,initial,zchronological,preschool
2,44,22,57,53,15.088915,0,AI,after,initial,zchronological,preschool
2,44,22,57,54,2.287347,1,AI,after,initial,zchronological,preschool
2,44,22,57,3,18.382413,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,4,4.849497,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,19,14.13252,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,20,5.541743,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,23,22.674034,0,BI,zbefore,initial,reverse,preschool
2,44,22,57,24,3.145187,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,55,12.490438,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,56,8.463285,1,BI,zbefore,initial,reverse,preschool
2,44,22,57,15,13.635187,1,AM,after,zmedial,reverse,preschool
